num_cells,deltaBIC,params1,params2,model1BIC,model2BIC,num_cells_nonzero_AD,total_DP,median_DP,total_AD,median_AD,new_mutation,as_mutation,fraction_b_allele,num_cells_minor_cpt
636,20263.873319653492,[0.0875763 1.       ],[0.16022121 0.05336357 0.45638593 0.54361407],38584.637624626186,18320.764304972694,633,733010.0,788.0,64194.0,72.0,False,False,0.02900918813136353,290.2614489821075
636,8805.522028663032,[0.008494 1.      ],[0.02494291 0.00129222 0.34642592 0.65357408],14205.595735835064,5400.073707172032,341,731752.0,787.0,6186.0,2.0,False,False,0.0008445584572830587,220.32688326754638
636,8690.092321016775,[0.01752597 1.        ],[0.02953419 0.00250516 0.57430018 0.42569982],16292.682173846533,7602.589852829758,445,732918.0,787.0,12826.0,10.0,False,False,0.0010664453076431094,270.7450858668176
629,8236.63012906628,[0.08412722 1.        ],[0.17630932 0.04847605 0.44010016 0.55989984],16953.449158739902,8716.819029673623,604,237860.0,220.0,20008.0,20.0,True,False,0.027141733727939855,276.82299835098706
636,7854.2306699259025,[0.05157381 1.        ],[0.07828    0.0299881  0.51802231 0.48197769],17340.779581401846,9486.548911475944,619,731218.0,786.0,37710.0,40.0,False,False,0.014453595452262186,306.53781254929333
629,7216.564963956719,[0.0793812 1.       ],[0.17469769 0.04856    0.39161795 0.60838205],15320.881187753483,8104.316223796764,602,230542.0,214.0,18298.0,18.0,True,False,0.02954303228885251,246.32769009094025
629,6477.909125965872,[0.07409039 1.        ],[0.15506753 0.04433661 0.42763081 0.57236919],14414.196179929522,7936.287053963651,596,234002.0,218.0,17334.0,16.0,True,False,0.025376909214335858,268.9797816348241
629,6364.478775375752,[0.07382893 1.        ],[0.15044933 0.0427626  0.4522477  0.5477523 ],13985.096026287252,7620.6172509115,606,228424.0,212.0,16862.0,18.0,True,False,0.02342331329762947,284.46380476944813
629,5592.489436304215,[0.06621366 1.        ],[0.13388744 0.03720594 0.46003792 0.53996208],12763.415894579915,7170.9264582757005,598,220968.0,208.0,14628.0,14.0,True,False,0.020089797331420987,289.36385199771115
629,5584.108449776404,[0.06289331 1.        ],[0.14412288 0.03842475 0.38934701 0.61065299],12621.608420128809,7037.4999703524045,591,222278.0,208.0,13976.0,14.0,True,False,0.023464185870862204,244.89927014656826
629,5188.188878456809,[0.06093896 1.        ],[0.13090503 0.03593046 0.43086216 0.56913784],11873.400624556049,6685.2117460992395,594,222608.0,208.0,13562.0,12.0,True,False,0.02044938575228751,271.0123015611562
629,4833.149432544059,[0.05513926 1.        ],[0.11674416 0.03229314 0.42298739 0.57701261],11812.423961862985,6979.274529318926,590,234314.0,218.0,12916.0,12.0,True,False,0.01863354636781581,266.05907057683214
629,4760.143665810224,[0.05608781 1.        ],[0.12036087 0.03322301 0.43090745 0.56909255],11372.671469738485,6612.527803928261,593,227208.0,212.0,12740.0,12.0,True,False,0.018906969516079283,271.04078308286245
636,4503.389233840233,[0.00142492 1.        ],[3.89740291e-02 2.22353517e-04 5.05269531e-02 9.49473047e-01],6179.706827429843,1676.31759358961,53,657088.0,737.0,878.0,0.0,False,False,0.00021111867088944753,32.13514220310162
629,4262.784823698921,[0.03729996 1.        ],[0.08101752 0.02054539 0.46305677 0.53694323],10630.459129379575,6367.674305680654,591,279566.0,258.0,10424.0,10.0,False,False,0.011031709566783123,291.2627071486753
618,3954.3884079426516,[0.08848086 1.        ],[0.15895152 0.037892   0.63191072 0.36808928],10282.00158260115,6327.613174658498,597,105086.0,110.0,9296.0,12.0,True,False,0.013947638661424958,227.47917536654327
629,3954.1642447011654,[0.04878925 1.        ],[0.09982118 0.02784058 0.437756   0.562244  ],9999.902514649626,6045.738269948461,576,226224.0,212.0,11032.0,10.0,False,False,0.015653199732788853,275.34852464493684
612,3892.8365040049466,[0.07867722 1.        ],[0.15277302 0.03517705 0.58429407 0.41570593],10006.595533094802,6113.759029089855,585,107486.0,116.0,8454.0,10.0,True,False,0.014623308231492278,254.41202633787117
629,3873.8185641105547,[0.03775034 1.        ],[0.081046   0.02171348 0.47798782 0.52201218],10158.89070773337,6285.072143622815,597,275420.0,254.0,10394.0,10.0,False,False,0.011334699150526656,300.6543369246717
636,3762.8297973909266,[0.02154513 1.        ],[0.03390782 0.01122579 0.47884028 0.52115972],9957.02590871882,6194.196111327894,570,730866.0,782.0,15740.0,16.0,False,False,0.0058504302786824055,304.54241609219815
629,3761.092824799429,[0.03615759 1.        ],[0.0813551  0.02170875 0.44191977 0.55808023],10013.724451541157,6252.631626741728,593,282198.0,260.0,10200.0,10.0,False,False,0.012115226893132823,277.9675371266518
629,3698.7901190087387,[0.03240417 1.        ],[0.06691515 0.0168544  0.50849579 0.49150421],9761.508641011553,6062.718522002814,585,285346.0,264.0,9242.0,10.0,False,False,0.008284008917823252,309.15614589249344
629,3655.9024039305477,[0.03434887 1.        ],[0.07315503 0.01942029 0.48253559 0.51746441],9414.607298111825,5758.704894181277,591,285826.0,264.0,9814.0,10.0,False,False,0.01004930769373649,303.51488406206823
628,3621.1757462239575,[0.03473628 1.        ],[0.08211757 0.02180697 0.3641589  0.6358411 ],9666.929733373658,6045.7539871497,563,286516.0,262.0,9946.0,10.0,False,False,0.013865769981067476,228.69178749223005
629,3605.5704284598287,[0.04110203 1.        ],[0.09052272 0.02433087 0.39656481 0.60343519],9438.04522842866,5832.474799968832,573,238178.0,220.0,9784.0,8.0,False,False,0.014682103924873052,249.43926263516624
583,3511.573290270965,[0.100094 1.      ],[0.23078548 0.05273616 0.49777784 0.50222216],8905.175659586537,5393.602369315572,545,70212.0,78.0,7024.0,10.0,False,False,0.026485269343709393,290.2044830549936
617,3470.913546753418,[0.07395157 1.        ],[0.13141351 0.02707282 0.65613257 0.34386743],9107.529420438274,5636.615873684856,577,101580.0,106.0,7508.0,8.0,True,False,0.009309462740419269,212.16620520775496
629,3326.101710240393,[0.03905542 1.        ],[0.07784577 0.02080624 0.45608664 0.54391336],9071.26863334271,5745.166923102317,557,232060.0,214.0,9056.0,8.0,False,False,0.011316790797250757,286.87849636139504
629,3297.075335239493,[0.0341907 1.       ],[0.07176366 0.02015072 0.46300899 0.53699101],9340.001423392969,6042.926088153476,587,286458.0,266.0,9790.0,10.0,False,False,0.010820757395543099,291.232654787735
629,3177.8525159250403,[0.02768814 1.        ],[0.06469654 0.01578715 0.44314553 0.55685447],8813.18070746798,5635.32819154294,576,282984.0,260.0,7830.0,8.0,False,False,0.008791146405927314,278.73853887569294
629,3070.684583348376,[0.02900679 1.        ],[0.0611154  0.01594517 0.4861087  0.5138913 ],8789.291188680263,5718.606605331887,572,285578.0,266.0,8278.0,8.0,False,False,0.008194084592095058,305.76237266127373
629,2957.981727959519,[0.03681815 1.        ],[0.08071746 0.02157428 0.42256608 0.57743392],8125.067080018778,5167.085352059259,561,224096.0,210.0,8244.0,8.0,False,False,0.012457722061477893,265.7940633885778
563,2916.9473613698656,[0.06899529 1.        ],[0.1777735  0.03601252 0.44201326 0.55798674],7572.831261842696,4655.883900472831,496,76798.0,78.0,5292.0,6.0,True,False,0.020094509831188632,248.85346394759173
636,2902.952266590668,[0.01529709 1.        ],[0.02657007 0.00784199 0.55623462 0.44376538],8667.827643269915,5764.875376679247,606,661760.0,735.0,10120.0,12.0,False,False,0.0034800058718147675,282.23478257864025
579,2827.2965942360215,[0.06166559 1.        ],[0.13878369 0.03009274 0.53245066 0.46754934],7620.742428296124,4793.445834060102,525,93300.0,92.0,5748.0,8.0,True,False,0.01406984207766608,270.7110688265733
629,2781.1975600306123,[0.02225864 1.        ],[0.04798444 0.01090573 0.4860111  0.5139889 ],7901.1892416181,5119.991681587488,562,286482.0,266.0,6370.0,6.0,False,False,0.005605425025869341,305.7009791062784
629,2705.084955087499,[0.02762897 1.        ],[0.0524107  0.01369974 0.54325816 0.45674184],8195.620109940344,5490.535154852845,576,276858.0,254.0,7644.0,8.0,False,False,0.006257246593639194,287.2906198883986
555,2685.272603785007,[0.07688805 1.        ],[0.19309809 0.04382657 0.42196811 0.57803189],7417.798118413402,4732.525514628395,504,74018.0,78.0,5686.0,8.0,True,False,0.025333153186867557,234.19230025075302
586,2675.0663039690635,[0.08478741 1.        ],[0.18902734 0.04433764 0.49073421 0.50926579],7733.08899716652,5058.022693197457,540,69758.0,78.0,5910.0,8.0,True,False,0.02257964457136732,287.5702459822779
